Task,TapTime,Milliseconds
2025-01-28 10:20:14,10:20:17.930,345
2025-01-28 10:20:14,10:20:20.180,331
2025-01-28 10:20:14,10:20:24.463,269
2025-01-28 10:20:14,10:20:27.513,284
2025-01-28 10:20:14,10:20:29.529,435
2025-01-28 10:20:14,10:20:32.446,337
2025-01-28 10:20:14,10:20:34.879,267
2025-01-28 10:20:14,10:20:39.512,256
2025-01-28 10:20:14,10:20:42.378,249
2025-01-28 10:20:14,10:20:44.811,268
2025-01-28 10:20:14,10:20:47.878,266
2025-01-28 10:20:14,10:20:51.860,273
2025-01-28 10:20:14,10:20:54.010,300
2025-01-28 10:20:14,10:20:58.210,226
2025-01-28 10:20:14,10:21:00.543,297
2025-01-28 10:20:14,10:21:02.243,0
2025-01-28 10:20:14,10:21:06.776,291
2025-01-28 10:20:14,10:21:09.492,326
2025-01-28 10:20:14,10:21:13.192,292
2025-01-28 10:20:14,10:21:15.492,298
2025-01-28 10:20:14,10:21:19.458,292
2025-01-28 10:20:14,10:21:23.208,256
2025-01-28 10:20:14,10:21:26.141,299
2025-01-28 10:20:14,10:21:28.541,359
2025-01-28 10:20:14,10:21:30.774,290
2025-01-28 10:20:14,10:21:32.724,369
2025-01-28 10:20:14,10:21:34.674,306
2025-01-28 10:20:14,10:21:37.207,246
2025-01-28 10:20:14,10:21:42.040,293
2025-01-28 10:20:14,10:21:44.673,0
2025-01-28 10:20:14,10:21:48.089,849
2025-01-28 10:20:14,10:21:51.789,304
2025-01-28 10:20:14,10:21:54.739,343
2025-01-28 10:20:14,10:21:56.722,446
2025-01-28 10:20:14,10:21:59.871,263
2025-01-28 10:20:14,10:22:02.488,355
2025-01-28 10:20:14,10:22:04.855,339
2025-01-28 10:20:14,10:22:08.737,252
2025-01-28 10:20:14,10:22:11.404,363
2025-01-28 10:20:14,10:22:14.937,350
2025-01-28 10:20:14,10:22:18.903,316
2025-01-28 10:20:14,10:22:21.920,309
2025-01-28 10:20:14,10:22:24.436,538
2025-01-28 10:20:14,10:22:28.769,284
2025-01-28 10:20:14,10:22:31.902,291
2025-01-28 10:20:14,10:22:35.719,280
2025-01-28 10:20:14,10:22:39.718,302
2025-01-28 10:20:14,10:22:42.368,463
2025-01-28 10:20:14,10:22:44.501,307
2025-01-28 10:20:14,10:22:46.918,307
2025-01-28 10:20:14,10:22:49.784,299
2025-01-28 10:20:14,10:22:54.267,387
2025-01-28 10:20:14,10:22:56.567,333
2025-01-28 10:20:14,10:22:59.300,293
2025-01-28 10:20:14,10:23:02.166,263
2025-01-28 10:20:14,10:23:04.183,354
2025-01-28 10:20:14,10:23:07.466,0
2025-01-28 10:20:14,10:23:09.416,321
2025-01-28 10:20:14,10:23:13.099,327
2025-01-28 10:20:14,10:23:17.632,337
2025-01-28 10:20:14,10:23:20.781,296
2025-01-28 10:20:14,10:23:23.465,283
2025-01-28 10:20:14,10:23:25.948,446
2025-01-28 10:20:14,10:23:29.014,300
2025-01-28 10:20:14,10:23:32.180,276
2025-01-28 10:20:14,10:23:36.364,323
2025-01-28 10:20:14,10:23:38.363,382
2025-01-28 10:20:14,10:23:40.396,332
2025-01-28 10:20:14,10:23:42.296,332
2025-01-28 10:20:14,10:23:44.296,342
2025-01-28 10:20:14,10:23:46.463,327
2025-01-28 10:20:14,10:23:49.996,266
2025-01-28 10:20:14,10:23:52.245,393
2025-01-28 10:20:14,10:23:57.112,274
2025-01-28 10:20:14,10:23:59.245,283
2025-01-28 10:20:14,10:24:01.528,0
2025-01-28 10:20:14,10:24:04.678,254
2025-01-28 10:20:14,10:24:07.194,233
2025-01-28 10:20:14,10:24:10.661,0
2025-01-28 10:20:14,10:24:13.777,292
2025-01-28 10:20:14,10:24:17.677,265
2025-01-28 10:20:14,10:24:21.660,301
2025-01-28 10:20:14,10:24:24.410,333
2025-01-28 10:20:14,10:24:27.676,317
2025-01-28 10:20:14,10:24:29.942,513
2025-01-28 10:20:14,10:24:32.875,288
2025-01-28 10:20:14,10:24:37.792,311
2025-01-28 10:20:14,10:24:42.508,379
2025-01-28 10:20:14,10:24:47.207,339
2025-01-28 10:20:14,10:24:52.107,361
2025-01-28 10:20:14,10:24:55.224,438
2025-01-28 10:20:14,10:24:58.490,368
2025-01-28 10:20:14,10:25:02.540,411
2025-01-28 10:20:14,10:25:04.623,429
2025-01-28 10:20:14,10:25:08.289,327
2025-01-28 10:20:14,10:25:12.289,322
2025-01-28 10:20:14,10:25:14.472,541
2025-01-28 10:20:14,10:25:17.438,310
2025-01-28 10:20:14,10:25:20.771,286
2025-01-28 10:20:14,10:25:23.121,349
2025-01-28 10:20:14,10:25:26.804,321
2025-01-28 10:20:14,10:25:29.471,0
2025-01-28 10:20:14,10:25:32.120,439
2025-01-28 10:20:14,10:25:34.587,335
2025-01-28 10:20:14,10:25:37.953,366
2025-01-28 10:20:14,10:25:42.603,308
2025-01-28 10:20:14,10:25:47.219,315
2025-01-28 10:20:14,10:25:51.336,295
2025-01-28 10:20:14,10:25:54.785,369
2025-01-28 10:20:14,10:25:57.035,424
2025-01-28 10:20:14,10:26:01.168,294
2025-01-28 10:20:14,10:26:04.451,722
2025-01-28 10:20:14,10:26:07.017,534
2025-01-28 10:20:14,10:26:10.284,362
2025-01-28 10:20:14,10:26:13.767,451
2025-01-28 10:20:14,10:26:16.334,444
2025-01-28 10:20:14,10:26:18.417,293
2025-01-28 10:20:14,10:26:21.900,416
2025-01-28 10:20:14,10:26:24.033,445
2025-01-28 10:20:14,10:26:26.732,249
2025-01-28 10:20:14,10:26:28.416,0
2025-01-28 10:20:14,10:26:28.749,0
2025-01-28 10:20:14,10:26:33.365,387
2025-01-28 10:20:14,10:26:36.965,354
2025-01-28 10:20:14,10:26:39.248,330
2025-01-28 10:20:14,10:26:42.081,335
2025-01-28 10:20:14,10:26:46.098,273
2025-01-28 10:20:14,10:26:48.264,0
2025-01-28 10:20:14,10:26:52.114,503
2025-01-28 10:20:14,10:26:56.813,330
2025-01-28 10:20:14,10:26:59.947,346
2025-01-28 10:20:14,10:27:03.263,288
2025-01-28 10:20:14,10:27:07.012,270
2025-01-28 10:20:14,10:27:11.079,255
2025-01-28 10:20:14,10:27:13.545,363
2025-01-28 10:20:14,10:27:15.745,374
2025-01-28 10:20:14,Sex,CHICO
2025-01-28 10:20:14,Test Duration in seconds,420
2025-01-28 10:20:14,Number of False Positives,9
2025-01-28 10:20:14,Average response time ,339
2025-01-28 10:20:14,Fastest response time ,226
2025-01-28 10:20:14,Slowest response time ,849
2025-01-28 10:20:14,Count of response time over 500ms ,7
2025-01-28 11:05:01,11:05:03.232,232
2025-01-28 11:05:01,11:05:06.698,168
2025-01-28 11:05:01,11:05:11.014,277
2025-01-28 11:05:01,11:05:14.681,273
2025-01-28 11:05:01,11:05:17.297,454
2025-01-28 11:05:01,11:05:20.097,0
2025-01-28 11:05:01,11:05:22.747,0
2025-01-28 11:05:01,11:05:26.646,257
2025-01-28 11:05:01,11:05:29.913,297
2025-01-28 11:05:01,11:05:32.462,307
2025-01-28 11:05:01,11:05:35.479,314
2025-01-28 11:05:01,11:05:38.362,291
2025-01-28 11:05:01,11:05:41.762,248
2025-01-28 11:05:01,11:05:44.245,300
2025-01-28 11:05:01,11:05:46.661,272
2025-01-28 11:05:01,11:05:48.861,262
2025-01-28 11:05:01,11:05:51.428,0
2025-01-28 11:05:01,11:05:54.444,0
2025-01-28 11:05:01,11:05:57.844,259
2025-01-28 11:05:01,11:06:01.877,272
2025-01-28 11:05:01,11:06:04.076,359
2025-01-28 11:05:01,11:06:06.393,307
2025-01-28 11:05:01,11:06:08.660,380
2025-01-28 11:05:01,11:06:10.776,284
2025-01-28 11:05:01,11:06:12.759,272
2025-01-28 11:05:01,11:06:15.326,0
2025-01-28 11:05:01,11:06:18.760,0
2025-01-28 11:05:01,11:06:22.475,319
2025-01-28 11:05:01,11:06:25.408,409
2025-01-28 11:05:01,11:06:28.591,317
2025-01-28 11:05:01,11:06:33.424,273
2025-01-28 11:05:01,11:06:36.924,286
2025-01-28 11:05:01,11:06:41.540,278
2025-01-28 11:05:01,11:06:44.006,519
2025-01-28 11:05:01,11:06:48.706,317
2025-01-28 11:05:01,11:06:51.956,300
2025-01-28 11:05:01,11:06:56.539,261
2025-01-28 11:05:01,11:06:59.372,332
2025-01-28 11:05:01,11:07:01.388,302
2025-01-28 11:05:01,11:07:04.238,288
2025-01-28 11:05:01,11:07:06.655,265
2025-01-28 11:05:01,11:07:10.671,281
2025-01-28 11:05:01,11:07:15.320,288
2025-01-28 11:05:01,11:07:19.904,288
2025-01-28 11:05:01,11:07:22.187,478
2025-01-28 11:05:01,11:07:24.387,347
2025-01-28 11:05:01,11:07:28.869,264
2025-01-28 11:05:01,11:07:32.553,0
2025-01-28 11:05:01,11:07:37.185,212
2025-01-28 11:05:01,11:07:39.869,479
2025-01-28 11:05:01,11:07:43.518,354
2025-01-28 11:05:01,11:07:45.935,337
2025-01-28 11:05:01,11:07:50.801,309
2025-01-28 11:05:01,11:07:54.284,0
2025-01-28 11:05:01,11:07:57.117,347
2025-01-28 11:05:01,11:07:59.700,463
2025-01-28 11:05:01,11:08:02.433,277
2025-01-28 11:05:01,11:08:06.133,0
2025-01-28 11:05:01,11:08:10.332,300
2025-01-28 11:05:01,11:08:13.166,674
2025-01-28 11:05:01,11:08:15.132,364
2025-01-28 11:05:01,11:08:19.099,370
2025-01-28 11:05:01,11:08:21.582,413
2025-01-28 11:05:01,11:08:24.381,264
2025-01-28 11:05:01,11:08:28.998,269
2025-01-28 11:05:01,11:08:32.714,266
2025-01-28 11:05:01,11:08:36.530,310
2025-01-28 11:05:01,11:08:39.664,278
2025-01-28 11:05:01,11:08:43.880,0
2025-01-28 11:05:01,11:08:44.046,0
2025-01-28 11:05:01,11:08:48.646,257
2025-01-28 11:05:01,11:08:53.229,367
2025-01-28 11:05:01,11:08:56.129,354
2025-01-28 11:05:01,11:08:58.195,530
2025-01-28 11:05:01,11:09:02.795,279
2025-01-28 11:05:01,11:09:06.178,277
2025-01-28 11:05:01,11:09:09.628,486
2025-01-28 11:05:01,11:09:12.828,323
2025-01-28 11:05:01,11:09:17.660,271
2025-01-28 11:05:01,11:09:20.360,845
2025-01-28 11:05:01,11:09:23.810,395
2025-01-28 11:05:01,11:09:26.110,498
2025-01-28 11:05:01,11:09:29.793,405
2025-01-28 11:05:01,11:09:33.209,244
2025-01-28 11:05:01,11:09:36.992,305
2025-01-28 11:05:01,11:09:40.492,382
2025-01-28 11:05:01,11:09:44.259,219
2025-01-28 11:05:01,11:09:49.158,372
2025-01-28 11:05:01,11:09:53.824,309
2025-01-28 11:05:01,11:09:57.890,225
2025-01-28 11:05:01,11:10:00.223,443
2025-01-28 11:05:01,11:10:04.290,250
2025-01-28 11:05:01,11:10:08.023,310
2025-01-28 11:05:01,11:10:12.439,283
2025-01-28 11:05:01,11:10:12.606,0
2025-01-28 11:05:01,11:10:16.289,335
2025-01-28 11:05:01,11:10:19.222,277
2025-01-28 11:05:01,11:10:22.605,290
2025-01-28 11:05:01,11:10:26.738,246
2025-01-28 11:05:01,11:10:31.187,265
2025-01-28 11:05:01,11:10:34.287,445
2025-01-28 11:05:01,11:10:37.837,259
2025-01-28 11:05:01,11:10:37.987,0
2025-01-28 11:05:01,11:10:40.887,553
2025-01-28 11:05:01,11:10:44.603,261
2025-01-28 11:05:01,11:10:49.403,295
2025-01-28 11:05:01,11:10:53.869,364
2025-01-28 11:05:01,11:10:57.420,263
2025-01-28 11:05:01,11:11:00.535,336
2025-01-28 11:05:01,11:11:03.402,290
2025-01-28 11:05:01,11:11:06.668,280
2025-01-28 11:05:01,11:11:10.118,0
2025-01-28 11:05:01,11:11:12.617,228
2025-01-28 11:05:01,11:11:16.401,363
2025-01-28 11:05:01,11:11:20.450,61
2025-01-28 11:05:01,11:11:22.966,475
2025-01-28 11:05:01,11:11:26.366,146
2025-01-28 11:05:01,11:11:31.166,304
2025-01-28 11:05:01,11:11:34.782,394
2025-01-28 11:05:01,11:11:37.965,476
2025-01-28 11:05:01,11:11:42.065,455
2025-01-28 11:05:01,11:11:45.365,412
2025-01-28 11:05:01,11:11:49.448,267
